ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,272.41,128,15.50,63.974,127,15.51,52184460
4096,2048,316.11,128,14.83,67.974,127,14.84,80373132
6144,2048,336.72,128,14.78,67.362,127,14.79,108561804
8192,2048,331.80,128,14.58,67.896,127,14.58,136750476
10240,2048,326.70,128,14.51,68.540,127,14.51,164939148
12288,2048,320.93,128,14.45,68.926,127,14.45,193127820
14336,2048,318.10,128,14.38,69.157,127,14.39,221316492
16384,2048,313.35,128,14.34,69.550,127,14.35,249505164
18432,2048,311.51,128,14.26,69.874,127,14.27,277693836
20480,2048,303.78,128,14.16,70.332,127,14.17,305882508
22528,2048,293.12,128,14.09,70.683,127,14.09,334071180
24576,2048,293.18,128,14.01,71.114,127,14.01,362259852
26624,2048,292.56,128,13.94,71.262,127,13.95,390448524
28672,2048,288.03,128,13.87,71.718,127,13.88,418637196
30720,2048,284.99,128,13.79,72.278,127,13.80,446825868
32768,2048,280.59,128,13.60,72.566,127,13.60,475014540
34816,2048,272.36,128,13.49,73.861,127,13.50,503203212
36864,2048,271.81,128,13.42,74.123,127,13.43,531391884
38912,2048,270.60,128,13.36,73.808,127,13.36,559580556
40960,2048,262.90,128,13.29,74.963,127,13.29,587769228
43008,2048,258.96,128,13.23,75.383,127,13.23,615957900
45056,2048,257.48,128,13.17,75.603,127,13.17,644146572
47104,2048,256.63,128,13.11,76.074,127,13.11,672335244
49152,2048,254.09,128,13.05,76.466,127,13.05,700523916
51200,2048,249.86,128,12.98,76.641,127,12.98,728712588
53248,2048,246.36,128,12.91,76.841,127,12.91,756901260
55296,2048,245.32,128,12.85,77.437,127,12.85,785089932
57344,2048,243.38,128,12.79,77.942,127,12.79,813278604
59392,2048,240.95,128,12.73,78.024,127,12.74,841467276
61440,2048,235.98,128,12.66,78.413,127,12.67,869655948
63488,2048,233.45,128,12.59,79.114,127,12.60,897844620
65536,2048,233.80,128,12.52,79.193,127,12.53,0
